OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,NaN,NaN
2246,1054882,1084993,1084993,3911 ENGLISH AVE,INDIANAPOLIS,45992,0,-86.76535389075062,35.24199775413121
2247,1179208,7006978,7006978,3325 N HAWTHORNE LN,INDIANAPOLIS,40494,1,-86.76535723901782,35.241997723733036
2248,1061617,1065243,1065243,1215 UNION ST,INDIANAPOLIS,165539,1,-86.76535389075062,35.24199775413121
2249,1009579,1014132,1014132,3026 STUART ST,INDIANAPOLIS,202905,0,-86.76535389075062,35.24199775413121
2250,1332122,5007209,5007209,5021 SANDHURST DR,INDIANAPOLIS,9897,1,-86.76535723901782,35.241997723733036
2251,1322236,9023966,9023966,1111 S SHEFFIELD AVE,INDIANAPOLIS,160943,0,-86.76535389075062,35.24199775413121
2252,1007634,1030995,1030995,3168 N CAPITOL AVE,INDIANAPOLIS,199213,1,-86.76535723901782,35.241997723733036
2253,1189469,7039421,7039421,11608 COASTAL WAY,INDIANAPOLIS,73714,1,-86.76535723901782,35.241997723733036
2254,1037979,1075378,1075378,901 N OXFORD ST,INDIANAPOLIS,40866,0,-86.76535389075062,35.24199775413121
2255,1018529,1017613,1017613,2449 GUILFORD AVE,INDIANAPOLIS,272226,1,-86.76535389075062,35.24199775413121
2256,1024300,1077887,1077887,3117 MASSACHUSETTS AVE,INDIANAPOLIS,71947,1,-86.76535389075062,35.24199775413121
2257,1318632,7001497,7001497,5120 MASSACHUSETTS AVE,INDIANAPOLIS,19070,1,-86.76535723901782,35.241997723733036
2258,1009110,1019402,1019402,3054 BROADWAY ST,INDIANAPOLIS,279608,0,-86.76535389075062,35.24199775413121
2259,1191357,7032527,7032527,1433 MOORES MANOR,INDIANAPOLIS,105346,0,-86.76535389075062,35.24199775413121
2260,1016523,1077860,1077860,558 W 26TH ST,INDIANAPOLIS,71398,1,-86.76535723901782,35.241997723733036
2261,1016528,1022112,1022112,538 W 26TH ST,INDIANAPOLIS,29204,0,-86.76535389075062,35.24199775413121
2262,1319668,9019294,9019294,1135 N PERSHING AVE,INDIANAPOLIS,41500,1,-86.76535389075062,35.24199775413121
2263,1033651,1038089,1038089,1231 N RURAL ST,INDIANAPOLIS,320677,0,-86.76535389075062,35.24199775413121
2264,1057810,1004770,1004770,828 RIVER AVE,INDIANAPOLIS,61963,0,-86.76535389075062,35.24199775413121
2265,1067094,1094385,1094385,4305 E MINNESOTA ST,INDIANAPOLIS,99908,1,-86.76535389075062,35.24199775413121
2266,1047327,1068495,1068495,206 N GRAY ST,INDIANAPOLIS,166365,0,-86.76535389075062,35.24199775413121
2267,1126768,4010433,4010433,6044 E 40TH ST,INDIANAPOLIS,155456,1,-86.76535389075062,35.24199775413121
2268,1019122,1079942,1079942,2434 INDIANAPOLIS AVE,INDIANAPOLIS,181232,0,-86.76535389075062,35.24199775413121
2269,1075497,1096815,1096815,2626 DAWSON ST,INDIANAPOLIS,104292,1,-86.76535389075062,35.24199775413121
2270,1044347,1049177,1049177,1527 STURM AVE,INDIANAPOLIS,260916,0,-86.76535389075062,35.24199775413121
2271,1289916,9013304,9013304,820 ROENA ST,INDIANAPOLIS,125896,0,-86.76535389075062,35.24199775413121
2272,1037435,1002259,1002259,940 N DEARBORN ST,INDIANAPOLIS,319855,0,-86.76535389075062,35.24199775413121
2273,1316987,1055274,1055274,2620 E 37TH ST,INDIANAPOLIS,198060,0,-86.76535389075062,35.24199775413121
2274,1014935,1039208,1039208,2726 N CAPITOL AVE,INDIANAPOLIS,320032,1,-86.76535389075062,35.24199775413121
2275,1043108,1037111,1037111,427 N DENNY ST,INDIANAPOLIS,68583,0,-86.76535389075062,35.24199775413121
2276,1024260,1065088,1065088,813 E 21ST ST,INDIANAPOLIS,9724,1,-86.76535389075062,35.24199775413121
2277,1002834,1087932,1087932,3446 RALSTON AVE,INDIANAPOLIS,121718,0,-86.76535389075062,35.24199775413121
2278,1029961,1039255,1039255,2345 COYNER AVE,INDIANAPOLIS,6923,0,-86.76535389075062,35.24199775413121
2279,1043856,1060621,1060621,448 N STATE AVE,INDIANAPOLIS,9017,1,-86.76535723901782,35.241997723733036
2280,1322710,7003496,7003496,1506 S SPENCER AVE,INDIANAPOLIS,98253,0,-86.76535389075062,35.24199775413121
2281,1010829,1074416,1074416,2953 N GLADSTONE AVE,INDIANAPOLIS,168646,1,-86.76535723901782,35.241997723733036
2282,1283735,9019302,9019302,3108 JACKSON ST,INDIANAPOLIS,209219,0,-86.76535389075062,35.24199775413121
2283,1008020,1076737,1076737,3132 N SHERMAN DR,INDIANAPOLIS,14543,1,-86.76535389075062,35.24199775413121
2284,1049014,1033823,1033823,23 S BRADLEY AVE,INDIANAPOLIS,231849,1,-86.76535389075062,35.24199775413121
2285,1043120,1032624,1032624,3520 ROBSON ST,INDIANAPOLIS,89233,1,-86.76535389075062,35.24199775413121
